dexnum,name,generation,type1,type2,species,height,weight,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total,ev_yield,catch_rate,base_friendship,base_exp,growth_rate,egg_group1,egg_group2,percent_male,percent_female,egg_cycles,special_group
0017,Pidgeotto,1,Normal,Flying,Bird Pokémon,1.1,30.0,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,349,2 Speed,120,50,122,Medium Slow,Flying,,50.0,50.0,15,Ordinary
0018,Pidgeot,1,Normal,Flying,Bird Pokémon,1.5,39.5,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,479,3 Speed,45,50,216,Medium Slow,Flying,,50.0,50.0,15,Ordinary
0019,Rattata,1,Normal,,Mouse Pokémon,0.3,3.5,Run Away,Guts,Hustle,30,56,35,25,35,72,253,1 Speed,255,50,51,Medium Fast,Field,,50.0,50.0,15,Ordinary
0020,Raticate,1,Normal,,Mouse Pokémon,0.7,18.5,Run Away,Guts,Hustle,55,81,60,50,70,97,413,2 Speed,127,50,145,Medium Fast,Field,,50.0,50.0,15,Ordinary
0021,Spearow,1,Normal,Flying,Tiny Bird Pokémon,0.3,2.0,Keen Eye,Sniper,,40,60,30,31,31,70,262,1 Speed,255,50,52,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0022,Fearow,1,Normal,Flying,Beak Pokémon,1.2,38.0,Keen Eye,Sniper,,65,90,65,61,61,100,442,2 Speed,90,50,155,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0023,Ekans,1,Poison,,Snake Pokémon,2.0,6.9,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,288,1 Attack,255,50,58,Medium Fast,Dragon ,Field,50.0,50.0,20,Ordinary
0024,Arbok,1,Poison,,Cobra Pokémon,3.5,65.0,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,448,2 Attack,90,50,157,Medium Fast,Dragon ,Field,50.0,50.0,20,Ordinary
0025,Pikachu,1,Electric,,Mouse Pokémon,0.4,6.0,Static,Lightning Rod,,35,55,40,50,50,90,320,2 Speed,190,50,112,Medium Fast,Fairy ,Field,50.0,50.0,10,Ordinary
0026,Raichu,1,Electric,,Mouse Pokémon,0.8,30.0,Static,Lightning Rod,,60,90,55,90,80,110,485,3 Speed,75,50,243,Medium Fast,Fairy ,Field,50.0,50.0,10,Ordinary
0027,Sandshrew,1,Ground,,Mouse Pokémon,0.6,12.0,Sand Veil,Sand Rush,,50,75,85,20,30,40,300,1 Defense,255,50,60,Medium Fast,Field,,50.0,50.0,20,Ordinary
0028,Sandslash,1,Ground,,Mouse Pokémon,1.0,29.5,Sand Veil,Sand Rush,,75,100,110,45,55,65,450,2 Defense,90,50,158,Medium Fast,Field,,50.0,50.0,20,Ordinary
0029,Nidoran♀ (female),1,Poison,,Poison Pin Pokémon,0.4,7.0,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,275,1 HP,235,50,55,Medium Slow,Field ,Monster,0.0,100.0,20,Ordinary
0030,Nidorina,1,Poison,,Poison Pin Pokémon,0.8,20.0,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,365,2 HP,120,50,128,Medium Slow,Undiscovered,,0.0,100.0,20,Ordinary
0031,Nidoqueen,1,Poison,Ground,Drill Pokémon,1.3,60.0,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,505,3 HP,45,50,227,Medium Slow,Undiscovered,,0.0,100.0,20,Ordinary
0032,Nidoran♂ (male),1,Poison,,Poison Pin Pokémon,0.5,9.0,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,273,1 Attack,235,50,55,Medium Slow,Field ,Monster,100.0,0.0,20,Ordinary
0033,Nidorino,1,Poison,,Poison Pin Pokémon,0.9,19.5,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,365,2 Attack,120,50,128,Medium Slow,Field ,Monster,100.0,0.0,20,Ordinary
0034,Nidoking,1,Poison,Ground,Drill Pokémon,1.4,62.0,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,505,3 Attack,45,50,227,Medium Slow,Field ,Monster,100.0,0.0,20,Ordinary
0035,Clefairy,1,Normal,,Fairy Pokémon,0.6,7.5,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,323,2 HP,150,140,113,Fast,Fairy,,25.0,75.0,10,Ordinary
0036,Clefable,1,Normal,,Fairy Pokémon,1.3,40.0,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,483,3 HP,25,140,217,Fast,Fairy,,25.0,75.0,10,Ordinary
0037,Vulpix,1,Fire,,Fox Pokémon,0.6,9.9,Flash Fire,Drought,,38,41,40,50,65,65,299,1 Speed,190,50,60,Medium Fast,Field,,25.0,75.0,20,Ordinary
0038,Ninetales,1,Fire,,Fox Pokémon,1.1,19.9,Flash Fire,Drought,,73,76,75,81,100,100,505,"1 Sp. Def, 1 Speed",75,50,177,Medium Fast,Field,,25.0,75.0,20,Ordinary
0039,Jigglypuff,1,Normal,,Balloon Pokémon,0.5,5.5,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,270,2 HP,170,50,95,Fast,Fairy,,25.0,75.0,10,Ordinary
0040,Wigglytuff,1,Normal,,Balloon Pokémon,1.0,12.0,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,435,3 HP,50,50,218,Fast,Fairy,,25.0,75.0,10,Ordinary
0041,Zubat,1,Poison,Flying,Bat Pokémon,0.8,7.5,Inner Focus,Infiltrator,,40,45,35,30,40,55,245,1 Speed,255,50,49,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0042,Golbat,1,Poison,Flying,Bat Pokémon,1.6,55.0,Inner Focus,Infiltrator,,75,80,70,65,75,90,455,2 Speed,90,50,159,Medium Fast,Flying,,50.0,50.0,15,Ordinary
0043,Oddish,1,Grass,Poison,Weed Pokémon,0.5,5.4,Chlorophyll,Run Away,,45,50,55,75,65,30,320,1 Sp. Atk,255,50,64,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0044,Gloom,1,Grass,Poison,Weed Pokémon,0.8,8.6,Chlorophyll,Stench,,60,65,70,85,75,40,395,2 Sp. Atk,120,50,138,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0045,Vileplume,1,Grass,Poison,Flower Pokémon,1.2,18.6,Chlorophyll,Effect Spore,,75,80,85,110,90,50,490,3 Sp. Atk,45,50,221,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0046,Paras,1,Bug,Grass,Mushroom Pokémon,0.3,5.4,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,285,1 Attack,190,50,57,Medium Fast,Bug ,Grass,50.0,50.0,20,Ordinary
0047,Parasect,1,Bug,Grass,Mushroom Pokémon,1.0,29.5,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,405,"2 Attack, 1 Defense",75,50,142,Medium Fast,Bug ,Grass,50.0,50.0,20,Ordinary
0048,Venonat,1,Bug,Poison,Insect Pokémon,1.0,30.0,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,305,1 Sp. Def,190,50,61,Medium Fast,Bug,,50.0,50.0,20,Ordinary
0049,Venomoth,1,Bug,Poison,Poison Moth Pokémon,1.5,12.5,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,450,"1 Sp. Atk, 1 Speed",75,50,158,Medium Fast,Bug,,50.0,50.0,20,Ordinary
0050,Diglett,1,Ground,,Mole Pokémon,0.2,0.8,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,265,1 Speed,255,50,53,Medium Fast,Field,,50.0,50.0,20,Ordinary
0051,Dugtrio,1,Ground,,Mole Pokémon,0.7,33.3,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,425,2 Speed,50,50,149,Medium Fast,Field,,50.0,50.0,20,Ordinary
0052,Meowth,1,Normal,,Scratch Cat Pokémon,0.4,4.2,Pickup,Technician,Unnerve,40,45,35,40,40,90,290,1 Speed,255,50,58,Medium Fast,Field,,50.0,50.0,20,Ordinary
0053,Persian,1,Normal,,Classy Cat Pokémon,1.0,32.0,Limber,Technician,Unnerve,65,70,60,65,65,115,440,2 Speed,90,50,154,Medium Fast,Field,,50.0,50.0,20,Ordinary
0054,Psyduck,1,Water,,Duck Pokémon,0.8,19.6,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,320,1 Sp. Atk,190,50,64,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0055,Golduck,1,Water,,Duck Pokémon,1.7,76.6,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,500,2 Sp. Atk,75,50,175,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0056,Mankey,1,Fighting,,Pig Monkey Pokémon,0.5,28.0,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,305,1 Attack,190,50,61,Medium Fast,Field,,50.0,50.0,20,Ordinary
0057,Primeape,1,Fighting,,Pig Monkey Pokémon,1.0,32.0,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,455,2 Attack,75,50,159,Medium Fast,Field,,50.0,50.0,20,Ordinary
0058,Growlithe,1,Fire,,Puppy Pokémon,0.7,19.0,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,350,1 Attack,190,50,70,Slow,Field,,75.0,25.0,20,Ordinary
0059,Arcanine,1,Fire,,Legendary Pokémon,1.9,155.0,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,555,2 Attack,75,50,194,Slow,Field,,75.0,25.0,20,Ordinary
0060,Poliwag,1,Water,,Tadpole Pokémon,0.6,12.4,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,300,1 Speed,255,50,60,Medium Slow,Water 1,,50.0,50.0,20,Ordinary
0061,Poliwhirl,1,Water,,Tadpole Pokémon,1.0,20.0,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,385,2 Speed,120,50,135,Medium Slow,Water 1,,50.0,50.0,20,Ordinary
0062,Poliwrath,1,Water,Fighting,Tadpole Pokémon,1.3,54.0,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,510,3 Defense,45,50,230,Medium Slow,Water 1,,50.0,50.0,20,Ordinary
0063,Abra,1,Psychic,,Psi Pokémon,0.9,19.5,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,310,1 Sp. Atk,200,50,62,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0064,Kadabra,1,Psychic,,Psi Pokémon,1.3,56.5,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,400,2 Sp. Atk,100,50,140,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0065,Alakazam,1,Psychic,,Psi Pokémon,1.5,48.0,Synchronize,Inner Focus,Magic Guard,55,50,45,135,95,120,500,3 Sp. Atk,50,50,225,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0066,Machop,1,Fighting,,Superpower Pokémon,0.8,19.5,Guts,No Guard,Steadfast,70,80,50,35,35,35,305,1 Attack,180,50,61,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0067,Machoke,1,Fighting,,Superpower Pokémon,1.5,70.5,Guts,No Guard,Steadfast,80,100,70,50,60,45,405,2 Attack,90,50,142,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0068,Machamp,1,Fighting,,Superpower Pokémon,1.6,130.0,Guts,No Guard,Steadfast,90,130,80,65,85,55,505,3 Attack,45,50,227,Medium Slow,Human-Like,,75.0,25.0,20,Ordinary
0069,Bellsprout,1,Grass,Poison,Flower Pokémon,0.7,4.0,Chlorophyll,Gluttony,,50,75,35,70,30,40,300,1 Attack,255,50,60,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0070,Weepinbell,1,Grass,Poison,Flycatcher Pokémon,1.0,6.4,Chlorophyll,Gluttony,,65,90,50,85,45,55,390,2 Attack,120,50,137,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0071,Victreebel,1,Grass,Poison,Flycatcher Pokémon,1.7,15.5,Chlorophyll,Gluttony,,80,105,65,100,70,70,490,3 Attack,45,50,221,Medium Slow,Grass,,50.0,50.0,20,Ordinary
0072,Tentacool,1,Water,Poison,Jellyfish Pokémon,0.9,45.5,Clear Body,Liquid Ooze,Rain Dish,40,40,35,50,100,70,335,1 Sp. Def,190,50,67,Slow,Water 3,,50.0,50.0,20,Ordinary
0073,Tentacruel,1,Water,Poison,Jellyfish Pokémon,1.6,55.0,Clear Body,Liquid Ooze,Rain Dish,80,70,65,80,120,100,515,2 Sp. Def,60,50,180,Slow,Water 3,,50.0,50.0,20,Ordinary
0074,Geodude,1,Rock,Ground,Rock Pokémon,0.4,20.0,Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,300,1 Defense,255,50,60,Medium Slow,Mineral,,50.0,50.0,15,Ordinary
0075,Graveler,1,Rock,Ground,Rock Pokémon,1.0,105.0,Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,390,2 Defense,120,50,137,Medium Slow,Mineral,,50.0,50.0,15,Ordinary
0076,Golem,1,Rock,Ground,Megaton Pokémon,1.4,300.0,Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,495,3 Defense,45,50,223,Medium Slow,Mineral,,50.0,50.0,15,Ordinary
0077,Ponyta,1,Fire,,Fire Horse Pokémon,1.0,30.0,Run Away,Flash Fire,Flame Body,50,85,55,65,65,90,410,1 Speed,190,50,82,Medium Fast,Field,,50.0,50.0,20,Ordinary
0078,Rapidash,1,Fire,,Fire Horse Pokémon,1.7,95.0,Run Away,Flash Fire,Flame Body,65,100,70,80,80,105,500,2 Speed,60,50,175,Medium Fast,Field,,50.0,50.0,20,Ordinary
0079,Slowpoke,1,Water,Psychic,Dopey Pokémon,1.2,36.0,Oblivious,Own Tempo,Regenerator,90,65,65,40,40,15,315,1 HP,190,50,63,Medium Fast,Monster ,Water 1,50.0,50.0,20,Ordinary
0080,Slowbro,1,Water,Psychic,Hermit Crab Pokémon,1.6,78.5,Oblivious,Own Tempo,Regenerator,95,75,110,100,80,30,490,2 Defense,75,50,172,Medium Fast,Monster ,Water 1,50.0,50.0,20,Ordinary
0081,Magnemite,1,Electric,Steel,Magnet Pokémon,0.3,6.0,Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,325,1 Sp. Atk,190,50,65,Medium Fast,Mineral,,,,20,Ordinary
0082,Magneton,1,Electric,Steel,Magnet Pokémon,1.0,60.0,Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,465,2 Sp. Atk,60,50,163,Medium Fast,Mineral,,,,20,Ordinary
0083,Farfetch'd,1,Normal,Flying,Wild Duck Pokémon,0.8,15.0,Keen Eye,Inner Focus,Defiant,52,90,55,58,62,60,377,1 Attack,45,50,132,Medium Fast,Field ,Flying,50.0,50.0,20,Ordinary
0084,Doduo,1,Normal,Flying,Twin Bird Pokémon,1.4,39.2,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,310,1 Attack,190,50,62,Medium Fast,Flying,,50.0,50.0,20,Ordinary
0085,Dodrio,1,Normal,Flying,Triple Bird Pokémon,1.8,85.2,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,110,470,2 Attack,45,50,165,Medium Fast,Flying,,50.0,50.0,20,Ordinary
0086,Seel,1,Water,,Sea Lion Pokémon,1.1,90.0,Thick Fat,Hydration,Ice Body,65,45,55,45,70,45,325,1 Sp. Def,190,50,65,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0087,Dewgong,1,Water,Ice,Sea Lion Pokémon,1.7,120.0,Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,475,2 Sp. Def,75,50,166,Medium Fast,Field ,Water 1,50.0,50.0,20,Ordinary
0088,Grimer,1,Poison,,Sludge Pokémon,0.9,30.0,Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,325,1 HP,190,50,65,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0089,Muk,1,Poison,,Sludge Pokémon,1.2,30.0,Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,500,"1 HP, 1 Attack",75,50,175,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0090,Shellder,1,Water,,Bivalve Pokémon,0.3,4.0,Shell Armor,Skill Link,Overcoat,30,65,100,45,25,40,305,1 Defense,190,50,61,Slow,Water 3,,50.0,50.0,20,Ordinary
0091,Cloyster,1,Water,Ice,Bivalve Pokémon,1.5,132.5,Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,525,2 Defense,60,50,184,Slow,Water 3,,50.0,50.0,20,Ordinary
0092,Gastly,1,Ghost,Poison,Gas Pokémon,1.3,0.1,Levitate,,,30,35,30,100,35,80,310,1 Sp. Atk,190,50,62,Medium Slow,Amorphous,,50.0,50.0,20,Ordinary
0093,Haunter,1,Ghost,Poison,Gas Pokémon,1.6,0.1,Levitate,,,45,50,45,115,55,95,405,2 Sp. Atk,90,50,142,Medium Slow,Amorphous,,50.0,50.0,20,Ordinary
0094,Gengar,1,Ghost,Poison,Shadow Pokémon,1.5,40.5,Cursed Body,,,60,65,60,130,75,110,500,3 Sp. Atk,45,50,250,Medium Slow,Amorphous,,50.0,50.0,20,Ordinary
0095,Onix,1,Rock,Ground,Rock Snake Pokémon,8.8,210.0,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,385,1 Defense,45,50,77,Medium Fast,Mineral,,50.0,50.0,25,Ordinary
0096,Drowzee,1,Psychic,,Hypnosis Pokémon,1.0,32.4,Insomnia,Forewarn,Inner Focus,60,48,45,43,90,42,328,1 Sp. Def,190,50,66,Medium Fast,Human-Like,,50.0,50.0,20,Ordinary
0097,Hypno,1,Psychic,,Hypnosis Pokémon,1.6,75.6,Insomnia,Forewarn,Inner Focus,85,73,70,73,115,67,483,2 Sp. Def,75,50,169,Medium Fast,Human-Like,,50.0,50.0,20,Ordinary
0098,Krabby,1,Water,,River Crab Pokémon,0.4,6.5,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,325,1 Attack,225,50,65,Medium Fast,Water 3,,50.0,50.0,20,Ordinary
0099,Kingler,1,Water,,Pincer Pokémon,1.3,60.0,Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,475,2 Attack,60,50,166,Medium Fast,Water 3,,50.0,50.0,20,Ordinary
0100,Voltorb,1,Electric,,Ball Pokémon,0.5,10.4,Soundproof,Static,Aftermath,40,30,50,55,55,100,330,1 Speed,190,50,66,Medium Fast,Mineral,,,,20,Ordinary
0101,Electrode,1,Electric,,Ball Pokémon,1.2,66.6,Soundproof,Static,Aftermath,60,50,70,80,80,150,490,2 Speed,60,50,172,Medium Fast,Mineral,,,,20,Ordinary
0102,Exeggcute,1,Grass,Psychic,Egg Pokémon,0.4,2.5,Chlorophyll,Harvest,,60,40,80,60,45,40,325,1 Defense,90,50,65,Slow,Grass,,50.0,50.0,20,Ordinary
0103,Exeggutor,1,Grass,Psychic,Coconut Pokémon,2.0,120.0,Chlorophyll,Harvest,,95,95,85,125,75,55,530,2 Sp. Atk,45,50,186,Slow,Grass,,50.0,50.0,20,Ordinary
0104,Cubone,1,Ground,,Lonely Pokémon,0.4,6.5,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,320,1 Defense,190,50,64,Medium Fast,Monster,,50.0,50.0,20,Ordinary
0105,Marowak,1,Ground,,Bone Keeper Pokémon,1.0,45.0,Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,425,2 Defense,75,50,149,Medium Fast,Monster,,50.0,50.0,20,Ordinary
0106,Hitmonlee,1,Fighting,,Kicking Pokémon,1.5,49.8,Limber,Reckless,Unburden,50,120,53,35,110,87,455,2 Attack,45,50,159,Medium Fast,Human-Like,,100.0,0.0,25,Ordinary
0107,Hitmonchan,1,Fighting,,Punching Pokémon,1.4,50.2,Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,455,2 Sp. Def,45,50,159,Medium Fast,Human-Like,,100.0,0.0,25,Ordinary
0108,Lickitung,1,Normal,,Licking Pokémon,1.2,65.5,Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,385,2 HP,45,50,77,Medium Fast,Monster,,50.0,50.0,20,Ordinary
0109,Koffing,1,Poison,,Poison Gas Pokémon,0.6,1.0,Levitate,Neutralizing Gas,Stench,40,65,95,60,45,35,340,1 Defense,190,50,68,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0110,Weezing,1,Poison,,Poison Gas Pokémon,1.2,9.5,Levitate,Neutralizing Gas,Stench,65,90,120,85,70,60,490,2 Defense,60,50,172,Medium Fast,Amorphous,,50.0,50.0,20,Ordinary
0111,Rhyhorn,1,Ground,Rock,Spikes Pokémon,1.0,115.0,Lightning Rod,Rock Head,Reckless,80,85,95,30,30,25,345,1 Defense,120,50,69,Slow,Field ,Monster,50.0,50.0,20,Ordinary
0112,Rhydon,1,Ground,Rock,Drill Pokémon,1.9,120.0,Lightning Rod,Rock Head,Reckless,105,130,120,45,45,40,485,2 Attack,60,50,170,Slow,Field ,Monster,50.0,50.0,20,Ordinary
0113,Chansey,1,Normal,,Egg Pokémon,1.1,34.6,Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,450,2 HP,30,140,395,Fast,Fairy,,0.0,100.0,40,Ordinary
0114,Tangela,1,Grass,,Vine Pokémon,1.0,35.0,Chlorophyll,Leaf Guard,Regenerator,65,55,115,100,40,60,435,1 Defense,45,50,87,Medium Fast,Grass,,50.0,50.0,20,Ordinary
0115,Kangaskhan,1,Normal,,Parent Pokémon,2.2,80.0,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,490,2 HP,45,50,172,Medium Fast,Monster,,0.0,100.0,20,Ordinary
0116,Horsea,1,Water,,Dragon Pokémon,0.4,8.0,Swift Swim,Sniper,Damp,30,40,70,70,25,60,295,1 Sp. Atk,225,50,59,Medium Fast,Dragon ,Water 1,50.0,50.0,20,Ordinary
0117,Seadra,1,Water,,Dragon Pokémon,1.2,25.0,Poison Point,Sniper,Damp,55,65,95,95,45,85,440,"1 Defense, 1 Sp. Atk",75,50,154,Medium Fast,Dragon ,Water 1,50.0,50.0,20,Ordinary
0118,Goldeen,1,Water,,Goldfish Pokémon,0.6,15.0,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,320,1 Attack,225,50,64,Medium Fast,Water 2,,50.0,50.0,20,Ordinary
0119,Seaking,1,Water,,Goldfish Pokémon,1.3,39.0,Swift Swim,Water Veil,Lightning Rod,80,92,65,65,80,68,450,2 Attack,60,50,158,Medium Fast,Water 2,,50.0,50.0,20,Ordinary
0120,Staryu,1,Water,,Star Shape Pokémon,0.8,34.5,Illuminate,Natural Cure,Analytic,30,45,55,70,55,85,340,1 Speed,225,50,68,Slow,Water 3,,,,20,Ordinary
0121,Starmie,1,Water,Psychic,Mysterious Pokémon,1.1,80.0,Illuminate,Natural Cure,Analytic,60,75,85,100,85,115,520,2 Speed,60,50,182,Slow,Water 3,,,,20,Ordinary
0122,Mr. Mime,1,Psychic,,Barrier Pokémon,1.3,54.5,Soundproof,Filter,Technician,40,45,65,100,120,90,460,2 Sp. Def,45,50,161,Medium Fast,Human-Like,,50.0,50.0,25,Ordinary
0123,Scyther,1,Bug,Flying,Mantis Pokémon,1.5,56.0,Swarm,Technician,Steadfast,70,110,80,55,80,105,500,1 Attack,45,50,100,Medium Fast,Bug,,50.0,50.0,25,Ordinary
0124,Jynx,1,Ice,Psychic,Human Shape Pokémon,1.4,40.6,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,455,2 Sp. Atk,45,50,159,Medium Fast,Human-Like,,0.0,100.0,25,Ordinary
0125,Electabuzz,1,Electric,,Electric Pokémon,1.1,30.0,Static,Vital Spirit,,65,83,57,95,85,105,490,2 Speed,45,50,172,Medium Fast,Human-Like,,75.0,25.0,25,Ordinary
0126,Magmar,1,Fire,,Spitfire Pokémon,1.3,44.5,Flame Body,Vital Spirit,,65,95,57,100,85,93,495,2 Sp. Atk,45,50,173,Medium Fast,Human-Like,,75.0,25.0,25,Ordinary
